分支号	始节点	末节点	风量	风阻	阻力	是否固定	风机名称	可调节性	局部风阻	始末节点标高差	平均密度	附加阻力
295	414	434	29.6	0.000438276	0.384	0	0	可调	0	0	1.23	0
296	437	438	3.956956	0.001033371	0.01618	0	0	可调	0	0	1.23	0
297	438	405	119.654133	0.012687624	181.650128	0	0	可调	0	0	1.23	0
298	441	443	12.246658	0.004113651	0.616968	0	0	可调	0	0	1.23	0
299	441	442	13.53246	0.003389339	0.620681	0	0	可调	0	0	1.23	0
300	442	207	14.44	0.039182097	8.17	0	0	可调	0	0	1.23	0
301	443	444	11.337238	0.002056826	0.26437	0	0	可调	0	0	1.23	0
302	443	442	11.33	0.002056573	0.264	0	0	可调	0	0	1.23	0
303	444	206	41	0.008542534	14.36	0	0	可调	0	0	1.23	0
304	445	171	5.768611	0.010395718	0.345937	0	0	可调	0	0	1.23	0
305	667	180	1.723323	0.001079519	0.003206	0	0	可调	0	0	1.23	0
306	667	45	44.282229	0.000257	0.503955	0	0	可调	0	0	1.23	0
307	667	3	33.175365	0.000514	0.565711	0	0	可调	0	0	1.23	0
308	667	251	29.604216	0.000812828	0.71237	0	0	可调	0	0	1.23	0
309	656	657	1.140963	0.001484103	0.001932	0	0	可调	0	0	1.23	0
310	656	659	52.661364	0.017883832	49.595788	0	0	可调	0	0	1.23	0
311	657	658	0.479663	0.002603481	0.000599	0	0	可调	0	0	1.23	0
312	657	639	0.6613	0.002570214	0.001124	0	0	可调	0	0	1.23	0
313	658	627	13.651545	0.001187553	0.221318	0	0	可调	0	0	1.23	0
314	659	644	18.035447	0.001611326	0.524128	0	0	可调	0	0	1.23	0
315	659	660	34.625916	0.001582959	1.897895	0	0	可调	0	0	1.23	0
316	660	661	1.37237	0.00580015	0.010924	0	0	可调	0	0	1.23	0
317	660	27	33.253546	0.011218298	12.405175	0	0	可调	0	0	1.23	0
318	661	34	2.769049	0.001900717	0.014574	0	0	可调	0	0	1.23	0
319	662	622	0.218576	0.003683899	0.000176	0	0	可调	0	0	1.23	0
320	662	663	32.623851	0.003778675	4.021703	0	0	可调	0	0	1.23	0
321	663	621	0.216496	0.004160398	0.000195	0	0	可调	0	0	1.23	0
322	663	666	32.407354	0.017494759	18.373636	0	0	可调	0	0	1.23	0
323	666	619	0.205356	0.005193132	0.000219	0	0	可调	0	0	1.23	0
324	666	665	32.201998	0.007661194	7.944418	0	0	可调	0	0	1.23	0
325	665	618	0.43666	0.003555845	0.000678	0	0	可调	0	0	1.23	0
326	665	646	31.765338	0.035572836	35.894297	0	0	可调	0	0	1.23	0
327	668	671	40.381312	0.002123334	3.462415	0	0	可调	0	0	1.23	0
328	668	1	0.56	0.001559311	0.000489	0	0	可调	0	0	1.23	0
329	646	647	60.268176	0.005586517	20.291643	0	0	可调	0	0	1.23	0
330	647	653	0.684428	0.003827584	0.001793	0	0	可调	0	0	1.23	0
331	647	648	59.583748	0.015204632	53.979833	0	0	可调	0	0	1.23	0
332	648	651	7.10306	0.002367013	0.119424	0	0	可调	0	0	1.23	0
333	648	649	52.480688	0.006240702	17.188282	0	0	可调	0	0	1.23	0
334	649	650	7.014419	0.002342564	0.115259	0	0	可调	0	0	1.23	0
335	649	678	45.466269	0.048498273	100.254739	0	0	可调	0	0	1.23	0
336	650	651	67.386031	0.001564246	7.103048	0	0	可调	0	0	1.23	0
337	651	652	74.489091	0.0009926	5.507565	0	0	可调	0	0	1.23	0
338	652	653	74.489091	0.010196936	56.578969	0	0	可调	0	0	1.23	0
339	653	618	78.298408	0.006875603	42.151852	0	0	可调	0	0	1.23	0
340	654	653	3.124888	0.001808206	0.017657	0	0	可调	0	0	1.23	0
341	655	654	1.106671	0.005860928	0.007178	0	0	可调	0	0	1.23	0
342	655	646	28.502838	0.008937955	7.2613	0	0	可调	0	0	1.23	0
343	669	176	18.818804	0.001387801	0.491486	0	0	可调	0	0	1.23	0
344	669	670	13.9	0.001035143	0.2	0	0	可调	0	0	1.23	0
345	618	619	78.735068	0.016161643	100.189436	0	0	可调	0	0	1.23	0
346	619	620	78.940424	0.003732584	23.259938	0	0	可调	0	0	1.23	0
347	620	621	79.423054	0.000725946	4.57928	0	0	可调	0	0	1.23	0
348	621	622	79.63955	0.000661767	4.197227	0	0	可调	0	0	1.23	0
349	622	623	80.077122	0.001232152	7.900987	0	0	可调	0	0	1.23	0
350	623	624	80.298304	0.006488159	41.834469	0	0	可调	0	0	1.23	0
351	624	625	80.709423	0.002261798	14.733374	0	0	可调	0	0	1.23	0
